Text,Emoji
ant,🐜
baby,👶
balloon,🎈
banana,🍌
basket,🧺
bat,🦇
beans,🫘
bear,🐻
bed,🛏️
bird,🐦
boy,👦
bread,🍞
broom,🧹
bubbles,🫧
bucket,🪣
bus,🚌
butter,🧈
butterfly,🦋
camera,📷
camping,🏕️
cat,🐈
chair,🪑
chicken,🐔
child,🧒
church,⛪
cloud,☁️
coat,🧥
coin,🪙
cook,🧑‍🍳
cow,🐄
crayon,🖍️
deer,🦌
donkey,🫏
door,🚪
doughnut,🍩
dress,👗
duck,🦆
ear,👂
egg,🥚
elephant,🐘
eye,👁️
fish,🐟
frog,🐸
giraffe,🦒
girl,👧
glasses,👓
gloves,🧤
goose,🪿
grapes,🍇
hamburger,🍔
hammer,🔨
helicopter,🚁
horse,🐎
house,🏠
ice,🧊
jar,🫙
jeans,👖
kiss,💏
ladder,🪜
leg,🦵
lion,🦁
lollipop,🍭
man,👨
melon,🍈
monkey,🐒
moose,🫎
mouse,🐁
mouth,👄
nose,👃
owl,🦉
pen,🖊️
pencil,✏️
penguin,🐧
person,🧑
pick,⛏️
pig,🐖
pizza,🍕
popcorn,🍿
potato,🥔
pretzel,🥨
radio,📻
rock,🪨
rooster,🐓
salt,🧂
sandwich,🥪
scarf,🧣
school,🏫
scissors,✂️
shorts,🩳
shower,🚿
sled,🛷
snowman,☃️
soap,🧼
spaghetti,🍝
spoon,🥄
star,⭐
strawberry,🍓
teacher,🧑‍🏫
telephone,☎️
tiger,🐅
tongue,👅
tooth,🦷
toothbrush,🪥
tractor,🚜
train,🚆
turkey,🦃
turtle,🐢
watch,⌚
window,🪟
wolf,🐺
zebra,🦓
